Locus	frequency
1	0.00131104555883317
1	0.00540806293018682
1	0.0284333005571944
1	0.0012291052114061
1	0.012372992461488
1	0.0535889872173058
1	0.086283185840708
1	0.0662897410685021
1	0.0563749590298263
1	0.0723533267781055
1	0.00147492625368732
1	0.0989019993444772
1	0.00647328744673877
1	0.0244182235332678
1	0.0213864306784661
1	0.0389216650278597
1	0.122254998361193
1	0.0719436250409702
1	0.147902327105867
1	0.0647328744673877
1	0.0150770239265814
1	8.19403474270731e-05
1	8.19403474270731e-05
1	0.000163880694854146
1	0.00106522451655195
1	0.000409701737135365
1	0.000163880694854146
1	8.19403474270731e-05
1	0.000737463126843658
1	8.19403474270731e-05
2	8.19940964250574e-05
2	0.0245982289275172
2	0.167431944899967
2	0.044276812069531
2	8.19940964250574e-05
2	0.00409970482125287
2	0.00213184650705149
2	0.0405870777304034
2	0.0339455559199738
2	0.0112331912102329
2	0.0189406362741883
2	0.00360774024270253
2	0.00869137422105608
2	0.034273532305674
2	0.00631354542472942
2	0.0881436536569367
2	0.0520662512299114
2	0.0766644801574287
2	0.00409970482125287
2	0.0154148901279108
2	0.00795342735323057
2	0.00131190554280092
2	0.0146769432600853
2	0.0123811085601837
2	0.000245982289275172
2	0.000245982289275172
2	0.00188586421777632
2	0.00032797638570023
2	0.000573958674975402
2	0.000819940964250574
2	0.0110692030173827
2	0.0259921285667432
2	0.0077074450639554
2	0.0318137094129223
2	0.0350934732699246
2	0.0245162348310922
2	0.0139389963922598
2	0.00910134470318137
2	0.0354214496556248
2	0.00541161036405379
2	0.041489012791079
2	0.000901935060675631
2	0.0321416857986225
2	0.00344375204985241
2	0.00688750409970482
2	0.0011479173499508
2	0.00311577566415218
2	8.19940964250574e-05
2	0.000245982289275172
2	8.19940964250574e-05
2	0.00516562807477862
2	0.00606756313545425
2	0.000163988192850115
2	0.000737946867825517
2	0.00541161036405379
2	8.19940964250574e-05
2	0.00360774024270253
2	0.000163988192850115
2	0.000409970482125287
2	0.000163988192850115
2	0.00491964578550344
2	0.000163988192850115
2	8.19940964250574e-05
2	8.19940964250574e-05
2	8.19940964250574e-05
2	8.19940964250574e-05
2	8.19940964250574e-05
2	0.000245982289275172
2	0.00196785831420138
2	0.00311577566415218
2	0.000245982289275172
2	0.000163988192850115
2	8.19940964250574e-05
3	0.000409701737135365
3	0.000573582431989512
3	0.000245821042281219
3	0.00680104883644707
3	0.00491642084562439
3	0.030317928548017
3	0.0428548017043592
3	0.0217961324156014
3	0.0012291052114061
3	0.00483448049819731
3	0.00540806293018682
3	0.00663716814159292
3	0.0266306129137988
3	0.0648967551622419
3	0.0170435922648312
3	0.0389216650278597
3	0.0120452310717797
3	0.0294985250737463
3	0.111848574237955
3	0.0776794493608653
3	0.119960668633235
3	0.0745657161586365
3	0.0200753851196329
3	0.0454768928220256
3	0.0211406096361849
3	0.0595706325794821
3	0.0452310717797443
3	0.0162241887905605
3	0.00704686987872829
3	0.00950508030154048
3	0.0335955424451
3	0.0264667322189446
3	0.00524418223533268
3	0.00393313667649951
3	0.000491642084562439
3	0.00581776466732219
3	0.00106522451655195
4	0.000246022634082336
4	0.0203378710841397
4	0.000328030178776447
4	8.20075446941119e-05
4	0.000410037723470559
4	0.00410037723470559
4	0.00401836969001148
4	0.00254223388551747
4	0.0152534033131048
4	0.0552730851238314
4	0.0832376578645235
4	0.000492045268164671
4	0.000738067902247007
4	0.0198458258159751
4	0.162046908315565
4	0.109398064621945
4	0.0861079219288175
4	0.0440380515007381
4	0.0232081351484337
4	0.0151713957684107
4	0.0076267016565524
4	0.0789732655404297
4	0.000164015089388224
4	0.0194357880925045
4	8.20075446941119e-05
4	8.20075446941119e-05
4	8.20075446941119e-05
4	0.00336230933245859
4	0.0181236673773987
4	0.0583073642775135
4	0.080613416434312
4	8.20075446941119e-05
4	0.0432999835984911
4	0.000164015089388224
4	0.0396916516319501
4	8.20075446941119e-05
4	0.00295227160898803
5	0.0162321692080669
5	0.000491883915395967
5	0.00139367109362191
5	8.19806525659944e-05
5	0.000245941957697983
5	0.000163961305131989
5	0.0491064108870307
5	0.0138547302836531
5	0.00303328414494179
5	0.014674536809313
5	0.0373831775700935
5	8.19806525659944e-05
5	0.00705033612067552
5	0.0409903262829972
5	0.000163961305131989
5	0.0342679127725857
5	0.00614854894244958
5	0.0111493687489752
5	0.0255779636005903
5	0.0460731267420889
5	0.132316773241515
5	0.0196753566158387
5	0.0378750614854894
5	0.123052959501558
5	0.00688637481554353
5	0.0402525004099033
5	0.014838498114445
5	0.0182816855222168
5	0.0029513034923758
5	0.0562387276602722
5	0.000491883915395967
5	0.0617314313821938
5	0.0629611411706837
5	0.0285292670929661
5	0.0253320216428923
5	0.0367273323495655
5	0.0123790785374652
5	0.0109034267912773
5	8.19806525659944e-05
5	8.19806525659944e-05
5	8.19806525659944e-05
5	8.19806525659944e-05
5	8.19806525659944e-05
6	0.0128036769533815
6	0.0535128036769534
6	8.20748522652659e-05
6	8.20748522652659e-05
6	0.0165791201575837
6	0.00459619172685489
6	0.011408404464872
6	0.00976690741956665
6	0.000164149704530532
6	0.00952068286277085
6	0.00976690741956665
6	0.000738673670387393
6	0.00648391332895601
6	0.00303676953381484
6	0.0127216021011162
6	0.0196158896913986
6	0.0319271175311884
6	0.0372619829284307
6	8.20748522652659e-05
6	8.20748522652659e-05
6	0.00968483256730138
6	0.00303676953381484
6	0.00960275771503611
6	0.00689428759028234
6	0.00828956007879186
6	0.0183847669074196
6	0.0468647406434668
6	0.0796946815495732
6	0.0483420879842416
6	0.0325016414970453
6	0.0654957321076822
6	0.109487852921865
6	0.0720617202889035
6	0.0362770847012475
6	0.0193696651346028
6	0.0481779382797111
6	0.0287261982928431
6	0.0150196979645437
6	0.0120650032829941
6	0.000328299409061064
6	0.000984898227183191
6	0.00123112278397899
6	8.20748522652659e-05
6	0.00549901510177282
6	0.00861785948785292
6	8.20748522652659e-05
6	0.000164149704530532
6	0.00147734734077479
6	0.00714051214707814
6	0.0111621799080762
6	0.0111621799080762
6	0.0180564674983585
6	8.20748522652659e-05
6	0.0121470781352594
6	0.00451411687458963
6	0.00303676953381484
6	0.00352921864740643
6	0.000492449113591595
7	8.19940964250574e-05
7	0.105608396195474
7	0.0170547720564119
7	0.00155788783207609
7	0.012791079042309
